FECHA_HORA,SECTOR,CAUDAL MEDIO(M3)
01/01/2024 4:00,TOBO,"36,9"
01/01/2024 4:00,VALLONGA GLOBAL,"7,45"
01/01/2024 4:00,VALLONGA-TOLON DL,"7,45"
01/01/2024 4:00,VILLAFRANQUEZA,"26,459"
01/01/2024 4:00,VIRGEN DEL CARMEN 1000 Viv,"41,32"
01/01/2024 4:00,VIRGEN DEL REMEDIO,"64,75"
01/01/2024 5:00,1 CIUDAD JARDÍN,"11,65"
01/01/2024 5:00,ALIPARK DL,"8,45"
01/01/2024 5:00,ALTOZANO,"39,8"
01/01/2024 5:00,BAHÍA LOS PINOS,"30,1"
01/01/2024 5:00,BENALÚA DL,"39,8"
01/01/2024 5:00,Bº GRANADA 1,"23,55"
01/01/2024 5:00,Bº LOS ÁNGELES,"22,088"
01/01/2024 5:00,CABO HUERTAS - PLAYA,"19,05"
01/01/2024 5:00,Campoamor Alto,"33,25"
01/01/2024 5:00,CENTRO COMERCIAL GRAN VÍA,"11,8"
01/01/2024 5:00,CIUDAD DEPORTIVA DL,"19,45"
01/01/2024 5:00,COLONIA REQUENA,"118,9"
01/01/2024 5:00,COLONIA ROMANA,"23,3"
01/01/2024 5:00,CONDOMINA,"32,2"
01/01/2024 5:00,Depósito Los Ángeles,"12,2"
01/01/2024 5:00,DIPUTACIÓN DL,0
01/01/2024 5:00,GARBINET NORTE 1,"9,35"
01/01/2024 5:00,INFORMACIÓN DL,"21,1"
01/01/2024 5:00,Les Palmeretes,"29,45"
01/01/2024 5:00,LONJA,"3,74"
01/01/2024 5:00,LONJA DL,"3,74"
01/01/2024 5:00,MERCADO DL,"33,656"
01/01/2024 5:00,MUCHAVISTA - P.A.U. 5,"42,95"
01/01/2024 5:00,MUELLE GRANELES DL,"4,9"
01/01/2024 5:00,MUELLE LEVANTE DL,"10,225"
01/01/2024 5:00,O.A.M.I 1,"10,8"
01/01/2024 5:00,P.A.U. 1 (norte+sur),"20,5"
01/01/2024 5:00,P.A.U. 2,"16,35"
01/01/2024 5:00,PARQUE LO MORANT,"18,585"
01/01/2024 5:00,PLAYA DE SAN JUAN 1,"53,7"
01/01/2024 5:00,Postiguet,"14,95"
01/01/2024 5:00,PZA. MONTAÑETA,"32,55"
01/01/2024 5:00,RABASA DL,"29,1"
01/01/2024 5:00,SANTO DOMINGO DL,"44,127"
01/01/2024 5:00,SH_Demo,"22,088"
01/01/2024 5:00,TOBO,"32,2"
01/01/2024 5:00,VALLONGA GLOBAL,"7,85"
01/01/2024 5:00,VALLONGA-TOLON DL,"7,85"
01/01/2024 5:00,VILLAFRANQUEZA,"21,899"
01/01/2024 5:00,VIRGEN DEL CARMEN 1000 Viv,"38,508"
01/01/2024 5:00,VIRGEN DEL REMEDIO,"59,5"
01/01/2024 6:00,1 CIUDAD JARDÍN,"13,7"
01/01/2024 6:00,ALIPARK DL,"5,75"
01/01/2024 6:00,ALTOZANO,43
01/01/2024 6:00,BAHÍA LOS PINOS,"22,2"
01/01/2024 6:00,BENALÚA DL,43
01/01/2024 6:00,Bº GRANADA 1,"23,5"
01/01/2024 6:00,Bº LOS ÁNGELES,"22,12"
01/01/2024 6:00,CABO HUERTAS - PLAYA,"18,7"
01/01/2024 6:00,Campoamor Alto,"32,8"
01/01/2024 6:00,CENTRO COMERCIAL GRAN VÍA,"10,15"
01/01/2024 6:00,CIUDAD DEPORTIVA DL,"17,45"
01/01/2024 6:00,COLONIA REQUENA,"113,9"
01/01/2024 6:00,COLONIA ROMANA,"18,7"
01/01/2024 6:00,CONDOMINA,"26,7"
01/01/2024 6:00,Depósito Los Ángeles,"13,35"
01/01/2024 6:00,DIPUTACIÓN DL,0
01/01/2024 6:00,GARBINET NORTE 1,"8,6"
01/01/2024 6:00,INFORMACIÓN DL,"19,7"
01/01/2024 6:00,Les Palmeretes,"32,65"
01/01/2024 6:00,LONJA,"2,78"
01/01/2024 6:00,LONJA DL,"2,78"
01/01/2024 6:00,MATADERO,"18,724"
01/01/2024 6:00,MERCADO DL,"30,808"
01/01/2024 6:00,MUCHAVISTA - P.A.U. 5,"36,3"
01/01/2024 6:00,MUELLE GRANELES DL,5
01/01/2024 6:00,MUELLE LEVANTE DL,"10,111"
01/01/2024 6:00,O.A.M.I 1,"11,3"
01/01/2024 6:00,P.A.U. 1 (norte+sur),"21,75"
01/01/2024 6:00,P.A.U. 2,"18,95"
01/01/2024 6:00,PARQUE LO MORANT,"19,006"
01/01/2024 6:00,PLAYA DE SAN JUAN 1,"50,6"
01/01/2024 6:00,Postiguet,"16,8"
01/01/2024 6:00,PZA. MONTAÑETA,"25,7"
01/01/2024 6:00,RABASA DL,"20,6"
01/01/2024 6:00,SANTO DOMINGO DL,"49,83"
01/01/2024 6:00,SH_Demo,"22,12"
01/01/2024 6:00,TOBO,"28,1"
01/01/2024 6:00,VALLONGA GLOBAL,8
01/01/2024 6:00,VALLONGA-TOLON DL,8
01/01/2024 6:00,VILLAFRANQUEZA,"18,867"
01/01/2024 6:00,VIRGEN DEL CARMEN 1000 Viv,"37,438"
01/01/2024 6:00,VIRGEN DEL REMEDIO,"56,15"
01/01/2024 7:00,1 CIUDAD JARDÍN,"25,6"
01/01/2024 7:00,ALIPARK DL,"6,55"
01/01/2024 7:00,ALTOZANO,"33,9"
01/01/2024 7:00,BAHÍA LOS PINOS,"21,75"
01/01/2024 7:00,BENALÚA DL,"33,9"
01/01/2024 7:00,Bº GRANADA 1,"26,2"
01/01/2024 7:00,Bº LOS ÁNGELES,"22,762"
01/01/2024 7:00,CABO HUERTAS - PLAYA,"14,45"
01/01/2024 7:00,Campoamor Alto,"33,9"
01/01/2024 7:00,CENTRO COMERCIAL GRAN VÍA,"12,1"
01/01/2024 7:00,CIUDAD DEPORTIVA DL,"17,15"
01/01/2024 7:00,COLONIA REQUENA,"120,7"
01/01/2024 7:00,COLONIA ROMANA,"18,9"
01/01/2024 7:00,CONDOMINA,"30,15"
01/01/2024 7:00,Depósito Los Ángeles,"14,55"
01/01/2024 7:00,DIPUTACIÓN DL,0
01/01/2024 7:00,GARBINET NORTE 1,"10,35"
01/01/2024 7:00,INFORMACIÓN DL,"22,8"
01/01/2024 7:00,Les Palmeretes,"32,6"
01/01/2024 7:00,LONJA,"2,32"
01/01/2024 7:00,LONJA DL,"2,32"
01/01/2024 7:00,MATADERO,"18,239"
01/01/2024 7:00,MERCADO DL,"29,918"
01/01/2024 7:00,MUCHAVISTA - P.A.U. 5,"33,35"
01/01/2024 7:00,MUELLE GRANELES DL,"5,9"
01/01/2024 7:00,MUELLE LEVANTE DL,"9,949"
01/01/2024 7:00,O.A.M.I 1,"7,3"
01/01/2024 7:00,P.A.U. 1 (norte+sur),"27,6"
01/01/2024 7:00,P.A.U. 2,"20,85"
01/01/2024 7:00,PARQUE LO MORANT,"19,489"
01/01/2024 7:00,PLAYA DE SAN JUAN 1,"46,5"
01/01/2024 7:00,Postiguet,"20,45"
01/01/2024 7:00,PZA. MONTAÑETA,"26,8"
01/01/2024 7:00,RABASA DL,18
01/01/2024 7:00,SANTO DOMINGO DL,"47,191"
01/01/2024 7:00,SH_Demo,"22,762"
01/01/2024 7:00,TOBO,"23,1"
01/01/2024 7:00,VALLONGA GLOBAL,"8,05"
01/01/2024 7:00,VALLONGA-TOLON DL,"8,05"
01/01/2024 7:00,VILLAFRANQUEZA,"19,415"
01/01/2024 7:00,VIRGEN DEL CARMEN 1000 Viv,"39,67"
01/01/2024 7:00,VIRGEN DEL REMEDIO,"57,1"
01/01/2024 8:00,1 CIUDAD JARDÍN,"15,5"
01/01/2024 8:00,ALIPARK DL,"6,5"
01/01/2024 8:00,ALTOZANO,"34,85"
01/01/2024 8:00,BAHÍA LOS PINOS,"22,3"
01/01/2024 8:00,BENALÚA DL,"34,85"
01/01/2024 8:00,Bº GRANADA 1,7
01/01/2024 8:00,Bº LOS ÁNGELES,"21,962"
01/01/2024 8:00,CABO HUERTAS - PLAYA,"15,75"
01/01/2024 8:00,Campoamor Alto,"34,4"
01/01/2024 8:00,CENTRO COMERCIAL GRAN VÍA,"11,35"
01/01/2024 8:00,CIUDAD DEPORTIVA DL,"17,6"
01/01/2024 8:00,COLONIA REQUENA,"113,9"
01/01/2024 8:00,COLONIA ROMANA,"20,05"
01/01/2024 8:00,CONDOMINA,"37,85"
01/01/2024 8:00,Depósito Los Ángeles,"13,1"
01/01/2024 8:00,DIPUTACIÓN DL,0
01/01/2024 8:00,GARBINET NORTE 1,"11,55"
01/01/2024 8:00,INFORMACIÓN DL,"19,9"
01/01/2024 8:00,Les Palmeretes,"31,45"
01/01/2024 8:00,LONJA,"1,74"
01/01/2024 8:00,LONJA DL,"1,74"
01/01/2024 8:00,MATADERO,"18,18"
01/01/2024 8:00,MERCADO DL,"32,774"
01/01/2024 8:00,MUCHAVISTA - P.A.U. 5,"32,45"
01/01/2024 8:00,MUELLE GRANELES DL,"4,7"
01/01/2024 8:00,MUELLE LEVANTE DL,"7,777"
01/01/2024 8:00,O.A.M.I 1,"9,4"
01/01/2024 8:00,P.A.U. 1 (norte+sur),"30,45"
01/01/2024 8:00,P.A.U. 2,"15,45"
01/01/2024 8:00,PARQUE LO MORANT,"19,86"
01/01/2024 8:00,PLAYA DE SAN JUAN 1,"45,1"
01/01/2024 8:00,Postiguet,"17,45"
01/01/2024 8:00,PZA. MONTAÑETA,"29,05"
01/01/2024 8:00,RABASA DL,26
01/01/2024 8:00,SANTO DOMINGO DL,"47,214"
01/01/2024 8:00,SH_Demo,"21,962"
01/01/2024 8:00,TOBO,"24,5"
01/01/2024 8:00,VALLONGA GLOBAL,"7,6"
01/01/2024 8:00,VALLONGA-TOLON DL,"7,6"
01/01/2024 8:00,VILLAFRANQUEZA,"18,84"
01/01/2024 8:00,VIRGEN DEL CARMEN 1000 Viv,"36,573"
01/01/2024 8:00,VIRGEN DEL REMEDIO,"54,85"
01/01/2024 9:00,1 CIUDAD JARDÍN,"14,05"
01/01/2024 9:00,ALIPARK DL,"8,2"
01/01/2024 9:00,ALTOZANO,"39,95"
01/01/2024 9:00,BAHÍA LOS PINOS,"24,95"
01/01/2024 9:00,BENALÚA DL,"39,95"
01/01/2024 9:00,Bº GRANADA 1,"6,8"
